ID,Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK
1,Liel Abada, ISR,"FW,MF",Celtic,20,2001,5,4,217,2.4,0,0,0,0,0
2,Oliver Abildgaard, DEN,MF,Celtic,26,1996,2,0,63,0.7,0,0,0,0,0
3,Mohammad Abu Fani, ISR,MF,Maccabi Haifa,24,1998,6,4,400,4.4,0,0,0,0,0
4,Francesco Acerbi, ITA,DF,Inter,34,1988,12,10,921,10.2,0,0,0,0,0
5,Marcos Acuña, ARG,"DF,MF",Sevilla,30,1991,4,3,219,2.4,0,1,1,0,0
6,Junior Adamu, AUT,FW,RB Salzburg,21,2001,6,2,204,2.3,1,1,2,1,0
7,Antonio Adán, ESP,GK,Sporting CP,35,1987,5,5,382,4.2,0,0,0,0,0
8,Arijan Ademi, MKD,MF,Dinamo Zagreb,31,1991,6,6,471,5.2,0,0,0,0,0
9,Karim Adeyemi, GER,"FW,MF",Dortmund,20,2002,6,5,376,4.2,2,0,2,2,0
10,Amine Adli, FRA,"FW,MF",Leverkusen,22,2000,4,1,121,1.3,0,0,0,0,0
11,Manuel Akanji, SUI,DF,Manchester City,27,1995,11,10,945,10.5,1,0,1,1,0
12,Nathan Aké, NED,DF,Manchester City,27,1995,8,7,608,6.8,0,0,0,0,0
13,David Alaba, AUT,DF,Real Madrid,30,1992,11,9,711,7.9,0,0,0,0,0
14,Lucas Alario, ARG,"FW,MF",Eint Frankfurt,29,1992,2,0,20,0.2,0,0,0,0,0
15,Jordi Alba, ESP,DF,Barcelona,33,1989,2,2,146,1.6,0,1,1,0,0
16,Thiago Alcántara, ESP,MF,Liverpool,31,1991,5,3,306,3.4,0,0,0,0,0
17,Trent Alexander-Arnold, ENG,DF,Liverpool,23,1998,7,7,625,6.9,1,0,1,1,0
18,Sotiris Alexandropoulos, GRE,MF,Sporting CP,20,2001,3,0,121,1.3,0,0,0,0,0
19,Faride Alidou, GER,"DF,FW",Eint Frankfurt,21,2001,5,0,73,0.8,1,0,1,1,0
20,Alisson, BRA,GK,Liverpool,29,1992,8,8,720,8.0,0,0,0,0,0
21,Marcos Alonso, ESP,DF,Barcelona,31,1990,5,5,403,4.5,1,0,1,1,0
22,Éder Álvarez Balanta, COL,"MF,FW",Club Brugge,29,1993,4,0,50,0.6,0,0,0,0,0
23,Edson Álvarez, MEX,MF,Ajax,24,1997,6,6,531,5.9,1,0,1,1,0
24,Julián Álvarez, ARG,FW,Manchester City,22,2000,10,4,474,5.3,3,2,5,3,0
25,Nadiem Amiri, GER,"MF,FW",Leverkusen,25,1996,5,1,123,1.4,0,1,1,0,0
26,Robert Andrich, GER,MF,Leverkusen,27,1994,5,5,407,4.5,1,0,1,1,0
27,Peter Ankersen, DEN,DF,FC Copenhagen,31,1990,1,0,25,0.3,0,0,0,0,0
28,Ofri Arad, ISR,"DF,MF",Maccabi Haifa,23,1998,2,0,22,0.2,0,0,0,0,0
29,Charles Aránguiz, CHI,MF,Leverkusen,33,1989,4,3,215,2.4,0,0,0,0,0
30,Henrique Araújo, POR,FW,Benfica,20,2002,1,0,9,0.1,1,0,1,1,0
31,Ronald Araújo, URU,DF,Barcelona,23,1999,1,1,90,1.0,0,0,0,0,0
32,Scott Arfield, CAN,MF,Rangers,33,1988,4,3,267,3.0,1,0,1,1,0
33,Hákon Arnar Haraldsson, ISL,FW,FC Copenhagen,19,2003,6,3,298,3.3,1,0,1,1,0
34,Kepa Arrizabalaga, ESP,GK,Chelsea,27,1994,9,9,810,9.0,0,0,0,0,0
35,Arthur, BRA,"MF,FW",Sporting CP,24,1998,3,1,111,1.2,2,0,2,2,0
36,Marco Asensio, ESP,"FW,MF",Real Madrid,26,1996,12,2,324,3.6,3,1,4,3,0
37,Kristjan Asllani, ALB,MF,Inter,20,2002,5,1,129,1.4,0,0,0,0,0
38,Omer Atzili, ISR,"FW,MF",Maccabi Haifa,29,1993,6,3,308,3.4,2,1,3,2,0
39,Pierre-Emerick Aubameyang, GAB,FW,Chelsea,33,1989,6,6,403,4.5,2,1,3,2,0
40,Lynnt Audoor, BEL,MF,Club Brugge,18,2003,1,0,11,0.1,0,0,0,0,0
41,Fredrik Aursnes, NOR,"FW,MF",Benfica,26,1995,10,7,620,6.9,1,0,1,1,0
42,Sardar Azmoun, IRN,FW,Leverkusen,27,1995,2,0,7,0.1,0,0,0,0,0
43,César Azpilicueta, ESP,DF,Chelsea,32,1989,5,3,260,2.9,0,0,0,0,0
44,Youri Baas, NED,DF,Ajax,19,2003,3,0,44,0.5,0,0,0,0,0
45,Alexander Bah, DEN,DF,Benfica,24,1997,8,8,654,7.3,0,2,2,0,0
46,Eric Bailly, CIV,DF,Marseille,28,1994,5,5,302,3.4,0,0,0,0,0
47,Stefan Bajcetic, ESP,MF,Liverpool,17,2004,4,1,109,1.2,0,0,0,0,0
48,Mitchel Bakker, NED,"MF,DF",Leverkusen,22,2000,5,4,338,3.8,0,0,0,0,0
49,Alejandro Balde, ESP,DF,Barcelona,18,2003,4,1,171,1.9,0,0,0,0,0
50,Leonardo Balerdi, ARG,DF,Marseille,23,1999,6,5,491,5.5,1,0,1,1,0
51,Fodé Ballo-Touré, SEN,"DF,MF",Milan,25,1997,4,1,135,1.5,0,0,0,0,0
52,Tommaso Barbieri, ITA,MF,Juventus,19,2002,1,0,3,0.0,0,0,0,0,0
53,Roony Bardghji, SWE,FW,FC Copenhagen,16,2005,2,1,98,1.1,0,0,0,0,0
54,Nicolò Barella, ITA,MF,Inter,25,1997,12,12,991,11.0,3,0,3,3,0
55,Borna Barišić, CRO,DF,Rangers,29,1992,6,5,465,5.2,0,0,0,0,0
56,Enzo Barrenechea, ARG,DF,Juventus,21,2001,1,0,3,0.0,0,0,0,0,0
57,Pablo Barrios, ESP,MF,Atlético Madrid,19,2003,1,0,6,0.1,0,0,0,0,0
58,Calvin Bassey, NGA,DF,Ajax,22,1999,6,6,540,6.0,0,1,1,0,0
59,Fortune Bassey, NGA,FW,Viktoria Plzeň,23,1998,5,1,134,1.5,0,0,0,0,0
60,Alessandro Bastoni, ITA,DF,Inter,23,1999,12,12,983,10.9,0,3,3,0,0
61,Dylan Batubinsika, COD,DF,Maccabi Haifa,26,1996,5,5,450,5.0,0,0,0,0,0
62,Martin Baturina, CRO,MF,Dinamo Zagreb,19,2003,5,0,60,0.7,0,0,0,0,0
63,Raoul Bellanova, ITA,"DF,MF",Inter,22,2000,3,1,120,1.3,0,0,0,0,0
64,Héctor Bellerín, ESP,DF,Barcelona,27,1995,2,2,180,2.0,0,0,0,0,0
65,Jude Bellingham, ENG,MF,Dortmund,19,2003,7,7,630,7.0,4,1,5,4,0
66,Ismaël Bennacer, ALG,MF,Milan,24,1997,10,9,585,6.5,1,0,1,1,0
67,Rodrigo Bentancur, URU,"MF,FW",Tottenham,25,1997,6,6,503,5.6,1,0,1,1,0
68,Karim Benzema, FRA,FW,Real Madrid,34,1987,10,9,744,8.3,4,1,5,4,0
69,Steven Berghuis, NED,"MF,FW",Ajax,30,1991,6,6,462,5.1,2,2,4,2,0
70,Steven Bergwijn, NED,FW,Ajax,24,1997,6,6,519,5.8,2,0,2,1,1
71,Alexandro Bernabei, ARG,FW,Celtic,21,2000,1,0,11,0.1,0,0,0,0,0
72,Bernardo, BRA,DF,RB Salzburg,27,1995,4,2,274,3.0,0,0,0,0,0
73,Juan Bernat, ESP,DF,Paris S-G,29,1993,5,3,275,3.1,0,0,0,0,0
74,Victor Bernth Kristiansen, DEN,"DF,MF",FC Copenhagen,19,2002,6,5,483,5.4,0,0,0,0,0
75,Modou Biramé Ndiaye, SEN,MF,Viktoria Plzeň,25,1996,4,2,182,2.0,0,0,0,0,0
76,Yves Bissouma, MLI,MF,Tottenham,25,1996,3,0,92,1.0,0,0,0,0,0
77,Janis Blaswich, GER,GK,RB Leipzig,31,1991,6,5,528,5.9,0,0,0,0,0
78,Daley Blind, NED,DF,Ajax,32,1990,5,5,407,4.5,0,0,0,0,0
79,Petar Bočkaj, CRO,"DF,FW",Dinamo Zagreb,26,1996,3,0,39,0.4,0,0,0,0,0
80,Nicolai Boilesen, DEN,DF,FC Copenhagen,30,1992,2,1,100,1.1,0,0,0,0,0
81,Valerii Bondar, UKR,DF,Shakhtar,23,1999,6,6,540,6.0,0,0,0,0,0
82,Artem Bondarenko, UKR,MF,Shakhtar,21,2000,6,6,484,5.4,0,0,0,0,0
83,Leonardo Bonucci, ITA,DF,Juventus,35,1987,6,5,444,4.9,1,0,1,1,0
84,Gonçalo Borges, POR,"MF,FW",Porto,21,2001,4,0,39,0.4,0,0,0,0,0
85,Rafael Borré, COL,FW,Eint Frankfurt,26,1995,8,1,228,2.5,0,0,0,0,0
86,Yassine Bounou, MAR,GK,Sevilla,31,1991,4,4,360,4.0,0,0,0,0,0
87,Dedryck Boyata, BEL,DF,Club Brugge,31,1990,3,1,136,1.5,0,0,0,0,0
88,Julian Brandt, GER,"MF,FW",Dortmund,26,1996,7,6,476,5.3,1,1,2,1,0
89,Gleison Bremer, BRA,DF,Juventus,25,1997,3,3,270,3.0,0,0,0,0,0
90,Brian Brobbey, NED,FW,Ajax,20,2002,5,1,116,1.3,0,0,0,0,0
91,Armando Broja, ALB,FW,Chelsea,20,2001,5,0,116,1.3,0,0,0,0,0
92,Marcelo Brozović, CRO,MF,Inter,29,1992,9,5,549,6.1,0,0,0,0,0
93,Pavel Bucha, CZE,MF,Viktoria Plzeň,24,1998,5,4,364,4.0,0,0,0,0,0
94,Tajon Buchanan, CAN,"DF,MF",Club Brugge,23,1999,6,6,520,5.8,0,2,2,0,0
95,Marko Bulat, CRO,MF,Dinamo Zagreb,20,2001,3,0,29,0.3,0,0,0,0,0
96,Sergio Busquets, ESP,MF,Barcelona,34,1988,4,4,289,3.2,0,0,0,0,0
97,Aurélio Buta, POR,DF,Eint Frankfurt,25,1997,2,2,158,1.8,0,0,0,0,0
98,Jamie Bynoe-Gittens, ENG,MF,Dortmund,17,2004,2,0,39,0.4,0,0,0,0,0
99,Jovane Cabral, CPV,MF,Sporting CP,24,1998,1,0,13,0.1,0,0,0,0,0
100,Davide Calabria, ITA,DF,Milan,25,1996,6,6,497,5.5,0,0,0,0,0
101,Hakan Çalhanoğlu, TUR,MF,Inter,28,1994,12,9,804,8.9,1,2,3,1,0
102,Eduardo Camavinga, FRA,"MF,DF",Real Madrid,19,2002,11,8,721,8.0,0,1,1,0,0
103,Emre Can, GER,MF,Dortmund,28,1994,7,6,565,6.3,0,0,0,0,0
104,João Cancelo, POR,DF,Bayern Munich,28,1994,4,2,123,1.4,0,1,1,0,0
105,João Cancelo, POR,DF,Manchester City,28,1994,6,5,376,4.2,0,4,4,0,0
106,Nicolás Capaldo, ARG,MF,RB Salzburg,24,1997,3,3,270,3.0,0,0,0,0,0
107,Valentin Carboni, ARG,FW,Inter,17,2005,1,0,15,0.2,0,0,0,0,0
108,Fábio Cardoso, POR,DF,Porto,28,1994,4,4,360,4.0,0,0,0,0,0
109,David Carmo, POR,DF,Porto,23,1999,5,5,450,5.0,0,0,0,0,0
110,Carmona, ESP,DF,Sevilla,20,2002,5,5,450,5.0,0,0,0,0,0
111,Yannick Carrasco, BEL,"DF,MF",Atlético Madrid,28,1993,6,3,274,3.0,1,1,2,1,0
112,Cameron Carter-Vickers, USA,DF,Celtic,24,1997,4,4,360,4.0,0,0,0,0,0
113,Dani Carvajal, ESP,DF,Real Madrid,30,1992,11,10,869,9.7,0,2,2,0,0
114,Fabio Carvalho, POR,"MF,FW",Liverpool,19,2002,4,1,115,1.3,0,0,0,0,0
115,Marc Casado, ESP,MF,Barcelona,18,2003,1,0,24,0.3,0,0,0,0,0
116,Dani Ceballos, ESP,MF,Real Madrid,25,1996,7,0,86,1.0,0,0,0,0,0
117,Aleš Čermák, CZE,MF,Viktoria Plzeň,27,1994,3,0,32,0.4,0,0,0,0,0
118,El Chadaille Bitshiabu, FRA,DF,Paris S-G,17,2005,1,0,45,0.5,0,0,0,0,0
119,Trevoh Chalobah, ENG,DF,Chelsea,23,1999,6,4,439,4.9,0,0,0,0,0
120,Timothy Chandler, USA,DF,Eint Frankfurt,32,1990,1,0,12,0.1,0,0,0,0,0
121,Tjaronn Chery, SUR,"MF,FW",Maccabi Haifa,34,1988,6,6,540,6.0,2,1,3,1,1
122,Federico Chiesa, ITA,FW,Juventus,24,1997,1,0,17,0.2,0,0,0,0,0
123,Ben Chilwell, ENG,"DF,MF",Chelsea,25,1996,7,7,556,6.2,0,0,0,0,0
124,Chiquinho, POR,MF,Benfica,27,1995,9,4,404,4.5,0,1,1,0,0
125,Tomáš Chorý, CZE,FW,Viktoria Plzeň,27,1995,6,5,361,4.0,2,0,2,1,1
126,Andreas Christensen, DEN,DF,Barcelona,26,1996,3,3,216,2.4,0,0,0,0,0
127,Viktor Claesson, SWE,"FW,MF",FC Copenhagen,30,1992,6,6,482,5.4,0,1,1,0,0
128,Jonathan Clauss, FRA,DF,Marseille,29,1992,6,6,410,4.6,0,1,1,0,0
129,William Clem, DEN,MF,FC Copenhagen,18,2004,2,2,170,1.9,0,0,0,0,0
130,Sebastián Coates, URU,DF,Sporting CP,31,1990,5,5,394,4.4,0,0,0,0,0
131,Josh Cohen, USA,GK,Maccabi Haifa,29,1992,6,6,540,6.0,0,0,0,0,0
132,Antonio Čolak, CRO,FW,Rangers,28,1993,6,3,284,3.2,0,0,0,0,0
133,Kingsley Coman, FRA,"FW,DF",Bayern Munich,26,1996,7,7,533,5.9,1,1,2,1,0
134,Francisco Conceição, POR,"FW,MF",Ajax,19,2002,3,0,17,0.2,1,0,1,1,0
135,Rodrigo Conceição, POR,DF,Porto,22,2000,2,0,5,0.1,0,0,0,0,0
136,Andreas Cornelius, DEN,FW,FC Copenhagen,29,1993,2,1,109,1.2,0,0,0,0,0
137,Pierre Cornud, FRA,DF,Maccabi Haifa,25,1996,5,5,371,4.1,0,1,1,0,0
138,Ángel Correa, ARG,"FW,MF",Atlético Madrid,27,1995,6,3,315,3.5,0,0,0,0,0
139,Joaquín Correa, ARG,FW,Inter,27,1994,9,3,304,3.4,1,2,3,1,0
140,Bruno Xavier Almeida Costa, POR,MF,Porto,25,1997,3,1,73,0.8,0,0,0,0,0
141,Diogo Costa, POR,GK,Porto,22,1999,8,8,720,8.0,0,1,1,0,0
142,Soumaïla Coulibaly, FRA,DF,Dortmund,18,2003,1,0,19,0.2,0,0,0,0,0
143,Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10,10,900,10.0,0,0,0,0,0
144,Juan Cuadrado, COL,"DF,MF",Juventus,34,1988,6,6,431,4.8,0,1,1,0,0
145,Marc Cucurella, ESP,DF,Chelsea,24,1998,8,4,414,4.6,0,0,0,0,0
146,Matheus Cunha, BRA,"FW,MF",Atlético Madrid,23,1999,5,0,122,1.4,0,0,0,0,0
147,Danilo D'Ambrosio, ITA,DF,Inter,33,1988,6,1,161,1.8,0,0,0,0,0
148,Danilo, BRA,DF,Juventus,31,1991,5,5,427,4.7,0,0,0,0,0
149,Arnaut Danjuma, NED,MF,Tottenham,25,1997,1,0,10,0.1,0,0,0,0,0
150,Mohammed Daramy, DEN,FW,FC Copenhagen,20,2002,6,6,443,4.9,0,0,0,0,0
151,Matteo Darmian, ITA,DF,Inter,32,1989,11,9,821,9.1,0,0,0,0,0
152,Dean David, ISR,"FW,DF",Maccabi Haifa,26,1996,6,3,237,2.6,1,0,1,1,0
153,Alphonso Davies, CAN,DF,Bayern Munich,21,2000,9,6,602,6.7,0,2,2,0,0
154,Ben Davies, WAL,DF,Tottenham,29,1993,7,4,392,4.4,0,0,0,0,0
155,Ben Davies, ENG,DF,Rangers,26,1995,3,3,260,2.9,0,0,0,0,0
156,Steven Davis, NIR,MF,Rangers,37,1985,5,3,249,2.8,0,0,0,0,0
157,Kevin De Bruyne, BEL,MF,Manchester City,31,1991,10,9,716,8.0,2,6,8,2,0
158,Charles De Ketelaere, BEL,"MF,FW",Milan,21,2001,6,3,234,2.6,0,0,0,0,0
159,Rodrigo De Paul, ARG,MF,Atlético Madrid,28,1994,5,1,256,2.8,1,0,1,1,0
160,Mattia De Sciglio, ITA,DF,Juventus,29,1992,3,1,95,1.1,0,0,0,0,0
161,Amar Dedić, BIH,DF,RB Salzburg,19,2002,6,6,540,6.0,0,0,0,0,0
162,Thomas Delaney, DEN,MF,Sevilla,30,1991,4,3,230,2.6,0,0,0,0,0
163,Ousmane Dembélé, FRA,FW,Barcelona,25,1997,6,5,413,4.6,1,2,3,1,0
164,Kerem Demirbay, GER,MF,Leverkusen,29,1993,5,2,268,3.0,0,0,0,0,0
165,Sergiño Dest, USA,DF,Milan,21,2000,4,1,191,2.1,0,0,0,0,0
166,Giovanni Di Lorenzo, ITA,DF,Napoli,28,1993,10,10,888,9.9,2,2,4,2,0
167,Ángel Di María, ARG,FW,Juventus,34,1988,3,2,146,1.6,0,3,3,0,0
168,Moussa Diaby, FRA,"FW,MF",Leverkusen,23,1999,6,6,505,5.6,2,0,2,2,0
169,Abdou Diallo, SEN,"DF,MF",RB Leipzig,26,1996,5,2,227,2.5,0,0,0,0,0
170,Rúben Dias, POR,DF,Manchester City,25,1997,12,11,"1,049",11.7,1,0,1,1,0
171,Brahim Díaz, ESP,"MF,FW",Milan,22,1999,10,8,602,6.7,1,0,1,1,0
172,Luis Díaz, COL,FW,Liverpool,25,1997,3,3,269,3.0,1,0,1,1,0
173,Eric Dier, ENG,DF,Tottenham,28,1994,7,7,617,6.9,0,0,0,0,0
174,Kevin Diks, NED,DF,FC Copenhagen,25,1996,6,4,335,3.7,0,0,0,0,0
175,Federico Dimarco, ITA,DF,Inter,24,1997,11,10,728,8.1,0,5,5,0,0
176,Junior Dina Ebimbe, FRA,"MF,DF",Eint Frankfurt,21,2000,6,3,239,2.7,0,0,0,0,0
177,Marko Dmitrović, SRB,GK,Sevilla,30,1992,2,2,180,2.0,0,0,0,0,0
178,Matt Doherty, IRL,DF,Tottenham,30,1992,2,1,76,0.8,0,0,0,0,0
179,Kasper Dolberg, DEN,FW,Sevilla,24,1997,4,1,110,1.2,0,0,0,0,0
180,Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8,8,720,8.0,0,0,0,0,0
181,Julian Draxler, GER,MF,Benfica,28,1993,3,0,32,0.4,0,0,0,0,0
182,Josip Drmić, SUI,FW,Dinamo Zagreb,29,1992,6,0,95,1.1,0,0,0,0,0
183,Denzel Dumfries, NED,DF,Inter,26,1996,12,10,885,9.8,1,0,1,1,0
184,Edin Džeko, BIH,FW,Inter,36,1986,13,11,824,9.2,4,1,5,4,0
185,Ederson, BRA,GK,Manchester City,28,1993,11,11,990,11.0,0,0,0,0,0
186,Jorge Eduardo Sánchez, MEX,DF,Ajax,24,1997,5,3,269,3.0,0,0,0,0,0
187,Marcus Edwards, ENG,"FW,MF",Sporting CP,23,1998,6,6,352,3.9,2,1,3,2,0
188,Hugo Ekitike, FRA,"MF,FW",Paris S-G,20,2002,4,0,62,0.7,0,0,0,0,0
189,Harvey Elliott, ENG,MF,Liverpool,19,2003,8,4,395,4.4,2,0,2,2,0
190,Elif Elmas, MKD,"FW,MF",Napoli,22,1999,10,2,285,3.2,0,0,0,0,0
191,Emerson, BRA,"DF,MF",Tottenham,23,1999,8,6,543,6.0,0,0,0,0,0
192,Youssef En-Nesyri, MAR,FW,Sevilla,25,1997,4,3,245,2.7,2,0,2,2,0
193,Ricardo Esgaio, POR,"DF,MF",Sporting CP,29,1993,3,2,109,1.2,0,0,0,0,0
194,Dario Essugo, POR,MF,Sporting CP,17,2005,1,0,28,0.3,0,0,0,0,0
195,Stephen Eustáquio, CAN,MF,Porto,25,1996,7,7,594,6.6,2,0,2,2,0
196,Evanilson, BRA,FW,Porto,22,1999,8,6,513,5.7,1,1,2,1,0
197,Fabinho, BRA,MF,Liverpool,28,1993,8,7,632,7.0,0,0,0,0,0
198,Nicolò Fagioli, ITA,MF,Juventus,21,2001,2,1,108,1.2,0,0,0,0,0
199,Rasmus Falk, DEN,MF,FC Copenhagen,30,1992,3,2,189,2.1,0,0,0,0,0
200,Abdul Fatawu Issahaku, GHA,"MF,DF",Sporting CP,18,2004,2,0,89,1.0,0,0,0,0,0
201,Ansu Fati, ESP,FW,Barcelona,19,2002,6,2,244,2.7,0,1,1,0,0
202,Felipe, BRA,DF,Atlético Madrid,33,1989,1,1,90,1.0,0,0,0,0,0
203,João Félix, POR,"FW,MF",Chelsea,22,1999,4,3,244,2.7,0,0,0,0,0
204,João Félix, POR,FW,Atlético Madrid,22,1999,5,3,217,2.4,0,0,0,0,0
205,Mateus Fernandes, POR,MF,Sporting CP,18,2004,1,0,30,0.3,0,0,0,0,0
206,Enzo Fernández, ARG,MF,Benfica,21,2001,5,5,427,4.7,0,1,1,0,0
207,Enzo Fernández, ARG,MF,Chelsea,21,2001,4,4,332,3.7,0,0,0,0,0
208,Fernando, BRA,FW,RB Salzburg,23,1999,1,1,64,0.7,0,1,1,0,0
209,Fernando, BRA,MF,Sevilla,35,1987,1,1,90,1.0,0,0,0,0,0
210,Roberto Firmino, BRA,"FW,MF",Liverpool,30,1991,8,4,417,4.6,2,1,3,2,0
211,Phil Foden, ENG,"MF,FW",Manchester City,22,2000,8,3,384,4.3,1,2,3,1,0
212,Wesley Fofana, FRA,DF,Chelsea,21,2000,5,5,397,4.4,1,0,1,1,0
213,Bernardo Folha, POR,MF,Porto,20,2002,2,0,8,0.1,0,0,0,0,0
214,James Forrest, SCO,FW,Celtic,31,1991,3,0,90,1.0,0,0,0,0,0
215,Emil Forsberg, SWE,"MF,FW",RB Leipzig,30,1991,8,4,402,4.5,1,0,1,1,0
216,Fraser Forster, ENG,GK,Tottenham,34,1988,2,2,180,2.0,0,0,0,0,0
217,Timothy Fosu-Mensah, NED,"MF,DF",Leverkusen,24,1998,3,0,10,0.1,0,0,0,0,0
218,Lassina Franck Traoré, BFA,FW,Shakhtar,21,2001,6,3,244,2.7,1,0,1,1,0
219,André Franco, POR,MF,Porto,24,1998,1,0,21,0.2,0,0,0,0,0
220,Jeremie Frimpong, NED,"MF,FW",Leverkusen,21,2000,5,4,374,4.2,0,2,2,0,0
221,Kyogo Furuhashi, JPN,FW,Celtic,27,1995,6,5,359,4.0,0,1,1,0,0
222,Matteo Gabbia, ITA,DF,Milan,22,1999,4,2,211,2.3,1,0,1,1,0
223,Gianluca Gaetano, ITA,MF,Napoli,22,2000,3,0,31,0.3,0,0,0,0,0
224,Roberto Gagliardini, ITA,MF,Inter,28,1994,6,1,116,1.3,0,0,0,0,0
225,Cody Gakpo, NED,"FW,MF",Liverpool,23,1999,2,2,152,1.7,0,0,0,0,0
226,Galeno, BRA,"FW,MF",Porto,24,1997,8,7,563,6.3,2,1,3,2,0
227,Conor Gallagher, ENG,MF,Chelsea,22,2000,8,2,301,3.3,0,0,0,0,0
228,Eric García, ESP,DF,Barcelona,21,2001,4,2,225,2.5,0,0,0,0,0
229,Federico Gatti, ITA,DF,Juventus,24,1998,2,2,180,2.0,0,0,0,0,0
230,Gavi, ESP,MF,Barcelona,17,2004,5,4,329,3.7,0,0,0,0,0
231,Gerson, BRA,MF,Marseille,25,1997,3,2,121,1.3,0,0,0,0,0
232,Giorgos Giakoumakis, GRE,FW,Celtic,27,1994,6,2,246,2.7,1,0,1,1,0
233,Samuel Gigot, FRA,DF,Marseille,28,1993,5,2,249,2.8,0,0,0,0,0
234,Bryan Gil, ESP,MF,Tottenham,21,2001,4,0,40,0.4,0,0,0,0,0
235,Gilberto, BRA,DF,Benfica,29,1993,5,2,201,2.2,0,0,0,0,0
236,Olivier Giroud, FRA,FW,Milan,35,1986,12,12,932,10.4,5,2,7,3,2
237,Serge Gnabry, GER,"FW,MF",Bayern Munich,27,1995,8,3,343,3.8,2,3,5,2,0
238,Sean Goldberg, ISR,DF,Maccabi Haifa,27,1995,6,6,540,6.0,0,0,0,0,0
239,Connor Goldson, ENG,DF,Rangers,29,1992,4,4,314,3.5,0,0,0,0,0
240,Joe Gomez, ENG,DF,Liverpool,25,1997,5,4,298,3.3,0,1,1,0,0
241,Papu Gómez, ARG,"FW,MF",Sevilla,34,1988,5,3,246,2.7,0,1,1,0,0
242,Sergio Gómez, ESP,"DF,MF",Manchester City,21,2000,5,4,305,3.4,0,1,1,0,0
